ASVID,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_1,D_0__Archaea,D_1__Crenarchaeota,D_2__Bathyarchaeia,D_3__uncultured methanogenic archaeon,D_4__uncultured methanogenic archaeon,D_5__uncultured methanogenic archaeon,D_6__uncultured methanogenic archaeon
ASV_2,D_0__Archaea,D_1__Crenarchaeota,D_2__Bathyarchaeia,NA,NA,NA,NA
ASV_3,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanobacteria,D_3__Methanobacteriales,D_4__Methanobacteriaceae,D_5__Methanobacterium,NA
ASV_4,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanobacteria,D_3__Methanobacteriales,D_4__Methanobacteriaceae,D_5__Methanobrevibacter,D_6__uncultured methanogenic archaeon
ASV_5,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanobacteria,D_3__Methanobacteriales,D_4__Methanobacteriaceae,D_5__Methanobrevibacter,NA
ASV_6,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanocellales,D_4__Methanocellaceae,D_5__Rice Cluster I,NA
ASV_7,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanomicrobiales,D_4__Methanoregulaceae,D_5__Methanoregula,NA
ASV_8,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanosarcinales,D_4__Methanosaetaceae,D_5__Methanosaeta,NA
ASV_9,D_0__Archaea,D_1__Euryarchaeota,D_2__Methanomicrobia,D_3__Methanosarcinales,D_4__Methanosarcinaceae,D_5__Methanosarcina,NA
ASV_10,D_0__Archaea,D_1__Euryarchaeota,D_2__Thermoplasmata,D_3__Methanomassiliicoccales,D_4__Methanomassiliicoccaceae,D_5__uncultured,NA
ASV_11,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
ASV_12,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,NA,NA,NA,NA
ASV_13,D_0__Bacteria,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,D_4__metagenome,D_5__metagenome,D_6__metagenome
ASV_14,D_0__Bacteria,D_1__Acidobacteria,D_2__AT-s3-28,D_3__uncultured bacterium,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_15,D_0__Bacteria,D_1__Acidobacteria,D_2__AT-s3-28,D_3__unidentified,D_4__unidentified,D_5__unidentified,D_6__unidentified
ASV_16,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),D_5__Acidipila,NA
ASV_17,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),D_5__Edaphobacter,NA
ASV_18,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),D_5__Granulicella,NA
ASV_19,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),D_5__Occallatibacter,NA
ASV_20,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),D_5__Terriglobus,NA
ASV_21,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Acidobacteriaceae (Subgroup 1),NA,NA
ASV_22,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Koribacteraceae,D_5__Candidatus Koribacter,Ambiguous_taxa
ASV_23,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Koribacteraceae,D_5__Candidatus Koribacter,D_6__uncultured Acidobacteria bacterium
ASV_24,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Koribacteraceae,D_5__Candidatus Koribacter,D_6__uncultured bacterium
ASV_25,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__Koribacteraceae,D_5__Candidatus Koribacter,NA
ASV_26,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__uncultured,D_5__uncultured bacterium DA038,D_6__uncultured bacterium DA038
ASV_27,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__uncultured,D_5__uncultured forest soil bacterium,D_6__uncultured forest soil bacterium
ASV_28,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,D_4__uncultured,NA,NA
ASV_29,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Acidobacteriales,NA,NA,NA
ASV_30,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__AKIW659,D_6__uncultured bacterium
ASV_31,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Bryobacter,D_6__metagenome
ASV_32,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Bryobacter,D_6__uncultured prokaryote
ASV_33,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Bryobacter,NA
ASV_34,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Candidatus Solibacter,NA
ASV_35,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Elev-16S-1166,Ambiguous_taxa
ASV_36,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Elev-16S-1166,D_6__uncultured bacterium
ASV_37,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Elev-16S-1166,NA
ASV_38,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__GOUTB8,NA
ASV_39,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__PAUC26f,Ambiguous_taxa
ASV_40,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__PAUC26f,D_6__uncultured Holophaga sp.
ASV_41,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Paludibaculum,D_6__metagenome
ASV_42,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Paludibaculum,D_6__uncultured soil bacterium
ASV_43,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Paludibaculum,NA
ASV_44,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),NA,NA
ASV_45,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Subgroup 13,NA,NA,NA
ASV_46,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Subgroup 2,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
ASV_47,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Subgroup 2,NA,NA,NA
ASV_48,D_0__Bacteria,D_1__Acidobacteria,D_2__Aminicenantia,D_3__Aminicenantales,D_4__uncultured soil bacterium,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_49,D_0__Bacteria,D_1__Acidobacteria,D_2__Aminicenantia,D_3__Aminicenantales,NA,NA,NA
ASV_50,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
ASV_51,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,D_4__uncultured Acidobacteria bacterium,D_5__uncultured Acidobacteria bacterium,D_6__uncultured Acidobacteria bacterium
